Chain,AAWT,Pos,AAMT,Response
0,A,101,V,0.22
0,A,84,G,-2.17
0,G,68,A,0.45
0,I,104,V,-0.67
0,I,156,V,-3.6
0,I,21,A,-0.02
0,I,21,G,0.01
0,I,22,V,-1.94
0,I,51,V,-1.98
0,I,52,V,-1.38
0,L,143,A,-0.14
0,L,50,A,0.05
0,L,6,A,-3.53
0,N,97,A,-0.83
0,Q,111,G,0.1
0,Q,99,A,0.98
0,S,110,A,-1.03
0,S,71,A,-0.65
0,T,122,S,-0.37
0,V,117,A,-2.05
0,V,139,A,-1.51
0,V,160,A,-2.46
0,V,31,A,-2.39
0,V,83,I,0.06
0,D,43,A,0.09
0,E,107,A,0.23
0,D,126,K,1.01
0,D,150,K,-0.28
0,D,65,K,-0.26
0,D,75,K,0.655
0,E,40,K,1.295
0,E,61,K,0.88
0,E,72,K,0.785
0,A,101,V,0.22
0,A,84,G,-2.17
0,G,68,A,0.45
0,I,104,V,-0.67
0,I,156,V,-3.6
0,I,21,A,-0.02
0,I,21,G,0.01
0,I,22,V,-1.94
0,I,51,V,-1.98
0,I,52,V,-1.38
0,L,143,A,-0.14
0,L,50,A,0.05
0,L,6,A,-3.53
0,N,97,A,-0.83
0,Q,111,G,0.1
0,Q,99,A,0.98
0,S,110,A,-1.03
0,S,71,A,-0.65
0,T,122,S,-0.37
0,V,117,A,-2.05
0,V,139,A,-1.51
0,V,160,A,-2.46
0,V,31,A,-2.39
0,V,83,I,0.06
0,D,43,A,0.09
0,E,107,A,0.23
0,D,126,K,1.01
0,D,150,K,-0.28
0,E,20,K,0.94
0,D,65,K,-0.26
0,D,75,K,0.655
0,E,40,K,1.295
0,E,61,K,0.88
0,E,72,K,0.785
0,A,101,V,0.22
0,A,84,G,-2.17
0,G,68,A,0.45
0,I,104,V,-0.67
0,I,156,V,-3.6
0,I,21,A,-0.02
0,I,21,G,0.01
0,I,22,V,-1.94
0,I,51,V,-1.98
0,I,52,V,-1.38
0,L,143,A,-0.14
0,L,50,A,0.05
0,L,6,A,-3.53
0,N,97,A,-0.83
0,Q,111,G,0.1
0,Q,99,A,0.98
0,S,110,A,-1.03
0,S,71,A,-0.65
0,T,122,S,-0.37
0,V,117,A,-2.05
0,V,139,A,-1.51
0,V,160,A,-2.46
0,V,31,A,-2.39
0,V,83,I,0.06
0,D,43,A,0.09
0,E,107,A,0.23
0,D,126,K,1.01
0,D,150,K,-0.28
0,E,20,K,0.94
0,D,65,K,-0.26
0,D,75,K,0.655
0,E,40,K,1.295
0,E,61,K,0.88
0,E,72,K,0.785
0,A,101,V,0.22
0,A,84,G,-2.17
0,G,68,A,0.45
0,I,104,V,-0.67
0,I,156,V,-3.6
0,I,21,A,-0.02
0,I,21,G,0.01
0,I,22,V,-1.94
0,I,51,V,-1.98
0,I,52,V,-1.38
0,L,143,A,-0.14
0,L,50,A,0.05
0,L,6,A,-3.53
0,N,97,A,-0.83
0,Q,111,G,0.1
0,Q,99,A,0.98
0,S,110,A,-1.03
0,S,71,A,-0.65
0,T,122,S,-0.37
0,V,117,A,-2.05
0,V,139,A,-1.51
0,V,160,A,-2.46
0,V,31,A,-2.39
0,V,83,I,0.06
0,D,43,A,0.09
0,E,107,A,0.23
0,D,126,K,1.01
0,D,150,K,-0.28
0,E,20,K,0.94
0,D,65,K,-0.26
0,D,75,K,0.655
0,E,40,K,1.295
0,E,61,K,0.88
0,E,72,K,0.785
0,A,101,V,0.22
0,A,84,G,-2.17
0,G,68,A,0.45
0,I,104,V,-0.67
0,I,156,V,-3.6
0,I,21,A,-0.02
0,I,21,G,0.01
0,I,22,V,-1.94
0,I,51,V,-1.98
0,I,52,V,-1.38
0,L,143,A,-0.14
0,L,50,A,0.05
0,L,6,A,-3.53
0,N,97,A,-0.83
0,Q,111,G,0.1
0,Q,99,A,0.98
0,S,110,A,-1.03
0,S,71,A,-0.65
0,T,122,S,-0.37
0,V,117,A,-2.05
0,V,139,A,-1.51
0,V,160,A,-2.46
0,V,31,A,-2.39
0,V,83,I,0.06
0,D,43,A,0.09
0,E,107,A,0.23
0,D,126,K,1.01
0,D,150,K,-0.28
0,E,20,K,0.94
0,D,65,K,-0.26
0,D,75,K,0.655
0,E,40,K,1.295
0,E,61,K,0.88
0,E,72,K,0.785
0,A,101,V,0.22
0,A,84,G,-2.17
0,D,126,K,1.01
0,D,150,K,-0.28
0,E,20,K,0.94
0,D,43,A,0.09
0,D,65,K,-0.26
0,D,75,K,0.655
0,E,107,A,0.23
0,E,40,K,1.295
0,E,61,K,0.88
0,E,72,K,0.785
0,G,68,A,0.45
0,I,104,V,-0.67
0,I,156,V,-3.6
0,I,21,A,-0.02
0,I,21,G,0.01
0,I,22,V,-1.94
0,I,51,V,-1.98
0,I,52,V,-1.38
0,L,143,A,-0.14
0,L,50,A,0.05
0,L,6,A,-3.53
0,N,97,A,-0.83
0,Q,111,G,0.1
0,Q,99,A,0.98
0,S,110,A,-1.03
0,S,71,A,-0.65
0,T,122,S,-0.37
0,V,117,A,-2.05
0,V,139,A,-1.51
0,V,160,A,-2.46
0,V,31,A,-2.39
0,V,83,I,0.06
